0,1
"— Mon cher, — говаривал Крутицын, — разделите сегодня все поровну, а завтра неравенство все-таки вступит в свои права.","ФСБ получит возможность инициировать фактическую блокировку сайтов. Причем делать это они смогут быстрее, чем через суд и РКН. Обсуждаем с руководителем Vee Security Александром Литреевым, как это будет работать и смогут ли сайты обезопасить себя от блокировки"
"— Mon cher, — говаривал Крутицын, — разделите сегодня все поровну, а завтра неравенство все-таки вступит в свои права.","Элла Памфилова рассказала, что кто-то заплатил за кампанию против ЦИКа.  «Я знаю, какие деньги были затрачены и кому сколько заплачено...» — сказала Памфилова. «[Я] не боюсь, пусть ищут. Каждый должен отрабатывать», — добавила она, не уточнив, кто именно пытается дискредитировать ЦИК. Но кто заплатил, она не сказала.  "
"— Mon cher, — говаривал Крутицын, — разделите сегодня все поровну, а завтра неравенство все-таки вступит в свои права.",Половина россиян получает зарплату меньше 34 тысяч рублей. При этом по количеству миллиардеров Москва недавно заняла 3-е место в мире. 
"— Mon cher, — говаривал Крутицын, — разделите сегодня все поровну, а завтра неравенство все-таки вступит в свои права.","Оппозиционных кандидатов в депутаты Мосгордумы к выборам не допустили, так как подписи избирателей, которые были собраны во время предвыборной кампании, забраковали. На своеобразной гибридной войне в борьбе с независимыми кандидатами применяются и другие методы. "
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.","У здания столичного управления МВД задержали активиста Максима Кондратьева, который стоял с плакатом «Мусора — позор России"
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.","Журналист «Дождя» Владимир Роменский подал в СК и МВД заявления с просьбой привлечь к ответсвенности полицейских, которые задержали его на акции 3 августа. Об этом «МБХ медиа» сообщил адвокат «Правозащиты Открытки» Сергей Бадамшин."
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.","Сотрудники Евгения Пригожина оказывают практически неограниченное влияние на производство предварительного расследования в ЦАР и подкупают чиновников. Не известно, удастся ли привлечь к ответственности причастных к преступлению."
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.","Рассказываем, что делать, если после митинга вы обнаружили синяки или любые другие повреждения от действий сотрудников полиции и Росгвардии.Хотите зафиксировать нарушения и жаловаться на сотрудников? Тогда как можно скорее отравляйтесь в ближайший травмпункт. "
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.","Алексей Полихович, отсидевший по «болотному делу», получил 13 суток ареста за выступление со словами «Дети ментов ненавидят ментов»"
".. преодолеть путинизм — нынешнее состояние России, в котором проблемы либо заливаются деньгами, либо объявляются выдумкой коварного Запада, можно единственным способом: думать и называть вещи своими именами.",Рихард Соболев был осужден по «болотному делу». Он же обвинялся по делу банды «Белых волков». Затем — стал фигурантом уголовного дела об убийстве. Но российское «правосудие» так и не смогло его посадить.
"Барышня спрашивают, для большого или малого декольте им шею мыть.","Задержание велосипедиста на акции в субботу было одним из самых нелепых и жестоких. Андрея Кургина сначала повалили, потом начали бить дубинками, а когда дотащили до автозака, то поняли, что места для него и его велосипеда там нет. В итоге его отпустили."
"Барышня спрашивают, для большого или малого декольте им шею мыть.", Это третье крупное ЧП на объектах Минобороны за последние месяцы: после пожара на глубоководном аппарате ВМФ России в Баренцевом море и пожара на складе боеприпасов в одной из воинских частей Красноярского края
"Барышня спрашивают, для большого или малого декольте им шею мыть.","На одном участке в Приморье за Павла Грудинина проголосовало 80% избирателей. На другом 96,43% голосов достались Жириновскому. А еще там были участки, где за Путина проголосовали меньше половины избирателей. За рубежом было не менее интересно. "
"Благонадёжность - это клеймо, для приобретения которого необходимо сделать какую-нибудь пакость. ","Оказывается, научный центр при Управделами президента торгует сервисами, позволяющими деанонимизировать любого жителя России."
"Благонадёжность - это клеймо, для приобретения которого необходимо сделать какую-нибудь пакость. ","""От того, что недавние студенты придумали и разработали, пришли в восторг ветераны ФСО, Минобороны и ФСБ, которые досиживали при Управделами отставку. Посыпались заказы от силовых ведомств и госкорпораций: просили удалять из «ВКонтакте» фотографии, которые российские солдаты выкладывали с Донбасса; однажды предложили поизучать в соцсетях потомков древнего ингушского рода (потом к богатейшему его представителю пришла ФСБ)."
"Благонадёжность - это клеймо, для приобретения которого необходимо сделать какую-нибудь пакость. ","Актриса Синтия Никсон, сыгравшая Миранду в «Сексе в большом городе», выдвигается в губернаторы Нью-Йорка"
"В болтливости скрывается ложь, а ложь, как известно, есть мать всех пороков.","У незарегистрированного кандидата в депутаты Мосгордумы Владимира Бурмистрова утром прошли обыски, после которых он был задержан"
